keys,fr,en,es,ja
TITRE,Plan de classe,Plan de classe,Plan de classe,Plan de classe
O1_CLASSE_ELEVES,"Classe, élèves et affinités","Class, students and affinities",,
O11_QUESTION,Question Posée,Question submitted,,
O11_TOOLTIP,"Simple, à propos des relations de travail.","Simple, about studying relationships.",,
O12_CLASSE,Nom de la classe,Class name,,
O12_TOOLTIP,Devient le nom du fichier sauvegardé. Une sauvegarde par tableau. Ajouter un indice pour différencier les questions.,Will become the name of the saved file. One save per table. Add a clue to differentiate the questions.,,
O13_ELEVE,Élève à ajouter,Student to be added,,
O13_TOOLTIP,Éviter les doublons.,Avoid duplicate entries.,,
O14_LECTURE_TABLEAU,\nLecture du tableau:\nLes élèves de la colonne de gauche ont donné des points d’affinité aux élèves de la ligne du haut.\n\n,\nTable reading:\nStudents in the left-hand column have awarded affinity points to students in the top row.\n\n,,
O15_SUPPR_NOM,Supprimer le dernier nom,Delete last name,,
O15_EFFACER_ELEVES,Effacer tous les élèves,Remove all students,,
O15_EFFACER_AFFINITES,Effacer toutes les affinités,Delete all affinities,,
O16_AFFICHAGE_QUESTION,Question : ,Question : ,,
O17_COIN_HD,À distribuer,To dispatch,,
O17_COIN_BG,Popularité,Popularity,,
O18_OUVRIR,Ouvrir,Open,,
O19_SAUVEGARDER,Sauvegarder,Save,,
O19_TOOLTIP,"Questions, élèves et affinités seront sauvegardées en tant que ","Questions, students and affinities will be saved as ",,
O2_BIN_SOCIO,Binômes et sociogramme,Pairs and sociogram,,
O21_G_BINOMES,Afficher les binômes,Display the pairs,,
O22_EVITER,Paires à éviter,Pairs to avoid,,
O22_FAVORISER,Paires à favoriser (?),Pairs to consider (?),,
O23_G_SOCIO,Afficher le sociogramme,Display the sociogram,,
O23_TOOLTIP,Attention : efface la disposition précédente.,Warning: deletes the previous layout.,,
O24_VALIDER,Valider les positions,Confirm locations,,
O24_TOOLTIP,Pour exporter la disposition actuelle vers le plan de classe.,To export the current layout to the seating plan.,,
O3_PDC,Plan de classe,Seating plan,,
O31_AJOUTER,Ajouter une table,Add a desk,,
O31_TOOLTIP,Les tables se déplacent en maintenant appuyé le bouton gauche de la souris.,Desks can be moved by holding down the left mouse button.,,
O32_ENLEVER,Enlever une table,Remove a desk,,
O32_TOOLTIP,N’enlève que les tables sans élèves.,Only remove desks without students.,,
O33_VERS_VE,Vers vue élève,Go to student view,,
O33_VERS_VP,Vers vue prof,Go to teacher view,,
O33_TOOLTIP,Parce qu’élève et enseignant observent souvent la classe selon un angle différent.,Because students and teachers often observe the classroom from different angles.,,
O34_TRACER,Tracer les murs,Draw the walls,,
O34_TOOLTIP,Pour visualiser la zone qui sera capturée.,To view the area that will be captured.,,
O35_CAPTURER,Capturer le plan,Capture the plan,,
O35_TOOLTIP,Le plan sera sauvegardé en tant que ,The plan will be saved as ,,
O4_AIDE_AP,Aide et à propos,Help & About,,
O41_JAMAIS_DEBUT,"Avant toute chose, vous ne devriez [b]jamais[/b] montrer le contenu de l’onglet ","First and foremost, you should [b]never[/b] show the contents of the ",,
O41_JAMAIS_FIN," à vos élèves, seulement l’image exportée à partir de "," tab to your students, only the image exported from ",,
O41_SAUVEGARDES,"Vos sauvegardes devraient être :[ul]Sous Windows dans [color=TOMATO][url]%APPDATA%\\Plan de classe[/url][/color],[/ul][ul]Sous Linux dans [color=TOMATO][url]~/.local/share/Plan de classe[/url][/color].[/ul]","Your backups should be:[ul]Under Windows in [color=TOMATO][url]%APPDATA%\\Plan de classe[/url][/color],[/ul][ul]Under Linux in [color=TOMATO][url]~/.local/share/Plan de classe[/url][/color].[/ul]",,
O41_O1_DESCRIPTION,"[p]Dans cet onglet, renseignez la liste de vos élèves puis leurs affinités pour travailler côte à côte.[/p][p]En cliquant dans une case du tableau, vous faites progresser les points attribués selon un cycle (0 → 1 → 2 → 3 → -2 → -1 → 0).[/p][p]La sauvegarde de votre tableau utilise le nom de votre classe, alors renseignez un nom explicite tels que [i]6E4_cooperation[/i] ou [i]5E2_travail_individuel[/i].[/p]","[p]In this tab, enter the list of your students and their affinities for studying side by side[/p][p]By clicking in a cell of the table, you increment the points awarded according to a cycle (0 → 1 → 2 → 3 → -2 → -1 → 0). [/p][p] When saving the table, the name of your class is used, so enter an explicit name such as [i]6E4_cooperation[/i] or [i]5E2_individual_work[/i].[/p]",,
